manudur,gengisvisitala
2020-01,180.9103
2020-02,183.9478
2020-03,195.5876
2020-04,204.0076
2020-05,207.8697
2020-06,197.5082
2020-07,207.6067
2020-08,207.7716
2020-09,206.3021
2020-10,210.466
2020-11,208.361
2020-12,198.8746
2021-01,201.9818
2021-02,201.6758
2021-03,200.0997
2021-04,197.6498
2021-05,196.2158
2021-06,191.3576
2021-07,190.6184
2021-08,193.5685
2021-09,197.4587
2021-10,197.3671
2021-11,198.7089
2021-12,194.0838
2022-01,194.5732
2022-02,187.0292
2022-03,193.0057
2022-04,188.6997
2022-05,185.1825
2022-06,183.4921
2022-07,186.9541
2022-08,189.5472
2022-09,186.5349
2022-10,188.9133
2022-11,199.1602
2022-12,199.891
2023-01,203.207
2023-02,202.3126
2023-03,198.008
2023-04,195.0792
2023-05,197.4845
2023-06,195.5785
2023-07,191.3866
2023-08,188.0521
2023-09,190.439
2023-10,192.1242
2023-11,200.2915
2023-12,197.0515
2024-01,195.9218
2024-02,195.3242
2024-03,195.0168
2024-04,197.544
2024-05,196.0629
2024-06,195.7883
2024-07,194.5001
2024-08,197.7345
2024-09,198.0981
2024-10,195.0442
2024-11,191.2342
2024-12,190.8195
2025-01,190.7671
2025-02,194.1701
2025-03,190.2599
2025-04,187.2154
2025-05,187.6604
2025-06,185.0151
2025-07,181.8377
2025-08,182.885
2025-09,183.2151
2025-10,181.1701
2025-11,188.3471
2025-12,188.9422
2026-01,187.8181
2026-02,185.9639
2026-03,185.3724
2026-04,185.1658
2026-05,185.5899
2026-06,187.0748
2026-07,186.0963
2026-08,184.0607
